Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
390,0,0,1,0.022301817312836647,0.0071409596130251884,0.016174464486539364,0.0016478048637509346,0.012451292015612125,0.00219742301851511,3
400,1,0,0,0.008375033378601075,0.007562457084655761,6.250286102294922e-05,0.002249919891357422,0.02231247329711914,0.0024374561309814455,2
400,0,1,0,0.01856876087188721,0.007312503814697266,0.010687493324279785,0.0020625038146972656,0.0011250276565551757,0.0023750019073486327,4
400,0,0,1,0.026875035285949707,0.009687596321105958,0.01956234073638916,0.002000136375427246,0.013374875068664551,0.0018126630783081054,5
410,1,0,0,0.009773482020499775,0.008253359500272775,6.430629840113008e-05,0.0018004331078548981,0.020511819501963173,0.002121901806489921,2
410,0,1,0,0.01748956966792605,0.007973395257329744,0.010738157931669259,0.002250529120488422,0.0010931275999595108,0.0026363001929389108,4
410,0,0,1,0.027327522819424854,0.01106198530628848,0.022505159731264466,0.0026363158912815674,0.01781125814335827,0.0027005623397513183,3
420,1,0,0,0.011357804306414948,0.008331045383164863,0.0001969567867888122,0.0030856242700785146,0.023503241418790417,0.0022976558749415294,2
420,0,1,0,0.01890770727846803,0.00912551419073794,0.009311525761580267,0.002232147865936536,0.00078778707680582,0.0021008844135188254,4
420,0,0,1,0.02544057769935672,0.008994237715456667,0.01890770727846803,0.0023634543939798818,0.014350198897994867,0.00229776807191993,5
430,1,0,0,0.010102392270647246,0.008418645324378178,0.00013468183320144127,0.0024917711471689158,0.025390689742976223,0.0026940652008714348,2
430,0,1,0,0.021742818684413516,0.011381878935057542,0.010910533625504067,0.002963515191242613,0.0012794763877474029,0.003636996293890065,4
430,0,0,1,0.027815096337219763,0.009428852591021308,0.019876929192707456,0.002693841169620382,0.015422928949882245,0.0022898799386517755,5
440,1,0,0,0.010806727514393004,0.008604068588055179,0.0001377859829806021,0.0023403440803158124,0.022370413011391258,0.002822283606172133,2
440,0,1,0,0.02140679233399782,0.009499065676449679,0.00991189007191931,0.002546642320271631,0.0008261749922966642,0.002546629716646304,4
440,0,0,1,0.03372123588024257,0.013766556584362417,0.026569421070787875,0.0028910395332370034,0.017758725498216266,0.00245987266170821,5
450,1,0,0,0.014569256756756757,0.009079561577186928,0.00014076361785063873,0.0023224826331611154,0.027801227999163104,0.0032376394615517006,2
450,0,1,0,0.02306492908580883,0.009924007965637758,0.012316984099310797,0.002956109003977733,0.0009152051564809439,0.002631318461787593,4
